ctx-lh-lateralorbitofrontal,ctx-lh-parsorbitalis,ctx-lh-frontalpole,ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,ctx-lh-parsopercularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-caudalmiddlefrontal,ctx-lh-precentral,ctx-lh-paracentral,ctx-lh-rostralanteriorcingulate,ctx-lh-caudalanteriorcingulate,ctx-lh-posteriorcingulate,ctx-lh-isthmuscingulate,ctx-lh-postcentral,ctx-lh-supramarginal,ctx-lh-superiorparietal,ctx-lh-inferiorparietal,ctx-lh-precuneus,ctx-lh-cuneus,ctx-lh-pericalcarine,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-fusiform,ctx-lh-parahippocampal,ctx-lh-entorhinal,ctx-lh-temporalpole,ctx-lh-inferiortemporal,ctx-lh-middletemporal,ctx-lh-bankssts,ctx-lh-superiortemporal,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,ctx-rh-frontalpole,ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,ctx-rh-parsopercularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-precentral,ctx-rh-paracentral,ctx-rh-rostralanteriorcingulate,ctx-rh-caudalanteriorcingulate,ctx-rh-posteriorcingulate,ctx-rh-isthmuscingulate,ctx-rh-postcentral,ctx-rh-supramarginal,ctx-rh-superiorparietal,ctx-rh-inferiorparietal,ctx-rh-precuneus,ctx-rh-cuneus,ctx-rh-pericalcarine,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-fusiform,ctx-rh-parahippocampal,ctx-rh-entorhinal,ctx-rh-temporalpole,ctx-rh-inferiortemporal,ctx-rh-middletemporal,ctx-rh-bankssts,ctx-rh-superiortemporal,ctx-rh-transversetemporal,ctx-rh-insula
0,0,0,0,0.000286164,0.001443175,0,5.8300506,0.000759662,32.54163377,0,0,0.204558738,52.53870918,0.015536723,17.95196251,0.015800354,3.061654345,0.003180025,9.735464128,0,0,0,0,0,0.001139601,0,0,0.004012426,0.005142084,0.005354274,0.00154603,0,0.000866457,0,0,0,0,0,0.003703247,0.000119382,1.600835582,0.027956989,11.32504593,130.7576792,0,0.042595149,13.96446099,0.122653317,8.729840082,0.097482436,2.693737374,0.032566087,8.920426169,0,0,0,0,0,0.001089325,0.001584786,0,0.000138696,0.009507763,0.042291704,0.016029506,0.03122748,0.163537756
0.025743828,0,0.03955288,33.19181868,0,0,0.008334987,25.66636594,0,0,0,0,47.70380254,0.02955665,0.00477327,0,0,0,0,0.009525521,0.000449135,0.000524521,0,0,0,0,0,0,0,0,0,0,0,0,0.036007201,0,0.00390625,15.83415113,0.000306701,0.000803751,0.002605944,6.664309372,0,0,0,127.0075188,5.097181511,0.343258107,0.022594311,0,0,0,0,0.011601336,0,0,0,0.000285185,0,0,0,0.000398327,0.000145096,0.000375422,0,0.000742776,0,0.000670241
0,0,0,0.00030755,0,0.000575871,0.002780868,19.3542406,0,0.000132485,0.616014027,25.53257727,0,21.42491269,0.091734575,0.000189036,0.000821355,0.001387925,0,0.948725349,0,0,0,0,0,0,0,0,0,0.000298263,0,0.000933053,0,0,0,0,0,0.002156625,0.001036628,0.005644682,0.000780031,4.610578925,0.000225708,0.000267362,0.031908607,9.467177243,65.03619665,2.259911894,0.100852273,0.000192548,0.000976007,0.000296714,0.000107939,0.258337248,0,0,0,0,0,0,0,0,0,0.000131156,0.001440922,0.001099764,0.00071582,0.000243339
0,0,0,0,0,0.000239923,0,3.839558787,0,0.025354847,44.62854515,0.012909801,20.26076834,0,18.08408091,0.021052632,0.001769259,0.085660561,0,10.73126856,0.001956947,0.000894855,0,0.001078749,0,0,0,0,0,0.001081008,0.001422475,0.002385797,0,0,0,0,0,0,0,0.000738734,0,0.479673029,0.000195103,0.029111369,3.017164064,0.024970273,2.757659073,134.3801012,29.74492341,0.032436104,0.004238217,0.023266761,0.001004066,4.689156627,0.000716717,0,0,0.001043025,0,0.002893833,0,0,0,0.001201995,0.005401512,0.002124646,0.001912046,0.003330211
0.000862441,0.000884369,0,0.001137333,0.00032515,0,0.000268186,0.001473456,0,0.000639918,0.014124294,0.003579952,0.205820722,16.36235708,0,0,0.008027703,0.041777778,0.003964567,60.36664836,0.282286521,0.392689006,0.02500217,9.560774745,0.022671669,5.659363,0.000459137,0,0.003147667,0.007316024,0.008814271,0.016577061,0.003446295,0.001905896,0.00040833,0.002259376,0,0,0.000949517,0,0.000251335,0.003613369,0,0.000258198,0.000356633,0.003821352,0.077958894,0.536777756,54.64984227,0,0.059254639,0.059805881,0.012172088,22.96993558,0.063108852,0.077648962,0.010288809,0.37967993,0.002185991,0.027408994,0.000475059,0,0.000589015,0.00747782,0.100532481,0.081894276,0.037293233,0.050971429
0.000128526,0,0,0,0.00707623,0.039238483,0.000188679,0.026430518,0.00175241,66.71951442,21.50857812,0,0,0.053968254,0.002520025,0,27.90900953,20.37402072,0.3756911,0.791586776,0,0,0.000898674,0,0,0.000186706,0.000187952,0,0.296664912,0.215652346,0.022443439,3.137063577,4.946042797,17.95013624,0,0,0,0,0.000634719,0.001033363,0,0.003658751,0,0.580428893,12.29513159,0,0,0.013737231,0.002173913,2.213334883,0.015488462,1.447603094,0.007575459,0.589427868,0,0,0,0,0,0.00036513,0,0,0.000100669,0.001268978,0.002003643,0.002865036,0.001664932,0.022613901
0.000932618,0,0,0,0.004561328,0.126847692,0.000175477,0.009691488,0.002503841,1.498957757,0.043414058,0,0.000985626,0.013859196,0.061545726,37.34495287,0,48.5344247,30.72172501,0.374029565,0,0,0.003608433,0.000138533,0,0,0,0,0.431848493,6.922830171,9.424594701,13.44885295,5.722232001,6.927680492,0,0,0,0,0,0,0,0.001265823,0.000115794,0.001968167,0.03247331,0,0,0.000617713,0.015512465,0.005745292,0.00531247,0.007034533,0.000965108,0.046074727,0,0,0,0,0,0,0.000165426,0,0,0.000253593,0.005407555,0.009649496,0.00410531,0.009140108
0.001559889,0.000303099,0,0,0.006475548,0.002352795,0.000508712,0.000251976,0,0.953129501,6.14688241,0,0,0.057246326,0.114222222,27.1461208,38.31094481,0,69.15058226,43.9244898,16.52301741,0.38030118,7.167434259,0.047272011,0,0.00015266,0,0,0.109326692,0.091970287,0.020537242,0.161515454,0.043599868,0.007967661,0.000108284,0.000458015,0,0,0,0.000125494,0.000162674,0,0,0.001572457,0.472202773,0,0,0.049036013,0.070742423,0.042568395,0.024093023,0.811337389,0.011321843,0.78418136,0.423260675,0.067673423,0.353244912,0.080981595,0.000101766,0.00014988,0,0,0.00026959,0.002208228,0.016007181,0.023068156,0.0060005,0.040633609
0.000776963,0,0,0,0.005610259,0.002021922,0,0.000174459,9.52E-05,0.055225653,0.014840115,0,0.000128107,0.000235266,0.019451155,0.805243446,32.08167173,69.38074707,0,1.507440543,0.191675231,0.019560557,22.58276406,0.002014099,0.001187497,0.000254065,0,0,4.928078362,27.90395503,18.93147618,0.622769032,0.097033583,0.009435877,0,0,0.000136064,0.000103804,0,0,0,5.98E-05,0,0.001193629,0.012407681,0,0,0,0.003608761,0.003597931,0.000165679,0.00718544,0.000197518,0.014937981,0.023318162,0.003194463,0.036879939,0.000441306,8.97E-05,0,0,0,0,7.38E-05,0.000374719,0.001301977,0.000273187,0.000199332
0.004422477,0.000564812,0,0,0.015508938,0.005155778,0.00038068,0.036401028,0.000253277,0.059557233,12.99540972,0.003055356,0.346705147,13.70267289,63.21746293,0.907791529,0.397532702,32.38030612,0.394641011,0,41.62341803,5.569148388,0.10250298,6.800031603,0.011327742,0.02260853,0,0.00018315,0.035821184,0.123440774,0.118177635,0.395444285,0.087873095,0.016971369,0.000754907,0.004750143,0,0.000142349,0.004026089,0.000898002,0.000545083,0.00786119,0,0.004909226,0.183464298,0.000972101,0.076260525,2.807984961,6.058590511,0.008814197,0.107576878,1.968675418,0.057392687,133.7064135,33.78137128,6.298501376,0.015832363,1.188134149,0.001873646,0.029340761,0,0,0,0.033638026,0.231403428,0.289344559,0.06132626,0.185319865
