Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Appended Data
245	54.0	-44.0	11.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
246	29.0	0.0	-32.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	White Matter	*	
247	37.0	12.0	-24.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
248	50.0	1.0	-13.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	
249	33.0	-67.0	38.0	Right Cerebrum	Parietal Lobe	Precuneus	White Matter	*	
250	48.0	-59.0	34.0	Right Cerebrum	Parietal Lobe	Angular Gyrus	White Matter	*	
251	48.0	-57.0	17.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	
252	58.0	-47.0	24.0	Right Cerebrum	Temporal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	
253	48.0	-29.0	18.0	Right Cerebrum	Sub-lobar	Insula	White Matter	*	
254	49.0	-31.0	49.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	
255	51.0	-46.0	40.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
256	57.0	-20.0	31.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	
257	58.0	-34.0	30.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
258	37.0	-22.0	15.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
259	55.0	-13.0	11.0	Right Cerebrum	Temporal Lobe	Transverse Temporal Gyrus	White Matter	*	
260	36.0	17.0	29.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
261	52.0	13.0	12.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
262	35.0	19.0	8.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
263	46.0	37.0	13.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	
264	18.0	12.0	-15.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	
265	26.0	33.0	-13.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 11	
266	43.0	24.0	-11.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
267	52.0	25.0	3.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
268	12.0	17.0	4.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	
269	14.0	0.0	17.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	
270	24.0	5.0	1.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	
271	29.0	-8.0	-1.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	
272	5.0	-13.0	7.0	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	
273	8.0	-25.0	-7.0	Right Brainstem	Midbrain	*	*	*	
274	15.0	-30.0	15.0	Right Cerebrum	Sub-lobar	Lateral Ventricle	Cerebro-Spinal Fluid	*	
275	25.0	-2.0	-16.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	
276	27.0	-19.0	-11.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	White Matter	*	
277	30.0	-36.0	0.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	
278	8.0	1.0	-4.0	Right Cerebrum	Sub-lobar	Extra-Nuclear	White Matter	*	

